,signal,label
0,-0.013427734375,accordeon_element_crime
1,-0.015289306640625,accordeon_element_crime
2,-0.012939453125,accordeon_element_crime
3,-0.015289306640625,accordeon_element_crime
4,-0.012664794921875,accordeon_element_crime
5,-0.015716552734375,accordeon_element_crime
6,-0.01129150390625,accordeon_element_crime
7,-0.021942138671875,accordeon_element_crime
8,-0.064910888671875,accordeon_element_crime
9,-0.065826416015625,accordeon_element_crime
10,-0.06512451171875,accordeon_element_crime
11,-0.065338134765625,accordeon_element_crime
12,-0.064361572265625,accordeon_element_crime
13,-0.064697265625,accordeon_element_crime
14,-0.06353759765625,accordeon_element_crime
15,-0.06414794921875,accordeon_element_crime
16,-0.063079833984375,accordeon_element_crime
17,-0.06317138671875,accordeon_element_crime
18,-0.062103271484375,accordeon_element_crime
19,-0.061737060546875,accordeon_element_crime
20,-0.06060791015625,accordeon_element_crime
21,-0.060699462890625,accordeon_element_crime
22,-0.0601806640625,accordeon_element_crime
23,-0.060333251953125,accordeon_element_crime
24,-0.06024169921875,accordeon_element_crime
25,-0.06060791015625,accordeon_element_crime
26,-0.060699462890625,accordeon_element_crime
27,-0.060943603515625,accordeon_element_crime
28,-0.061126708984375,accordeon_element_crime
29,-0.061370849609375,accordeon_element_crime
30,-0.060699462890625,accordeon_element_crime
31,-0.06011962890625,accordeon_element_crime
32,-0.059783935546875,accordeon_element_crime
33,-0.05853271484375,accordeon_element_crime
34,-0.057861328125,accordeon_element_crime
35,-0.05828857421875,accordeon_element_crime
36,-0.0579833984375,accordeon_element_crime
37,-0.057403564453125,accordeon_element_crime
38,-0.05718994140625,accordeon_element_crime
39,-0.05670166015625,accordeon_element_crime
40,-0.056304931640625,accordeon_element_crime
41,-0.05596923828125,accordeon_element_crime
42,-0.05584716796875,accordeon_element_crime
43,-0.055694580078125,accordeon_element_crime
44,-0.05523681640625,accordeon_element_crime
45,-0.05487060546875,accordeon_element_crime
46,-0.054412841796875,accordeon_element_crime
47,-0.053924560546875,accordeon_element_crime
48,-0.0537109375,accordeon_element_crime
49,-0.053497314453125,accordeon_element_crime
50,-0.05377197265625,accordeon_element_crime
51,-0.054656982421875,accordeon_element_crime
52,-0.055572509765625,accordeon_element_crime
53,-0.056976318359375,accordeon_element_crime
54,-0.057861328125,accordeon_element_crime
55,-0.05767822265625,accordeon_element_crime
56,-0.057403564453125,accordeon_element_crime
57,-0.05682373046875,accordeon_element_crime
58,-0.056060791015625,accordeon_element_crime
59,-0.05560302734375,accordeon_element_crime
60,-0.055267333984375,accordeon_element_crime
61,-0.0555419921875,accordeon_element_crime
62,-0.05584716796875,accordeon_element_crime
63,-0.055572509765625,accordeon_element_crime
64,-0.0552978515625,accordeon_element_crime
65,-0.05511474609375,accordeon_element_crime
66,-0.05499267578125,accordeon_element_crime
67,-0.054595947265625,accordeon_element_crime
68,-0.053985595703125,accordeon_element_crime
69,-0.0537109375,accordeon_element_crime
70,-0.05303955078125,accordeon_element_crime
71,-0.052398681640625,accordeon_element_crime
72,-0.052642822265625,accordeon_element_crime
73,-0.05255126953125,accordeon_element_crime
74,-0.0523681640625,accordeon_element_crime
75,-0.052825927734375,accordeon_element_crime
76,-0.05328369140625,accordeon_element_crime
77,-0.05377197265625,accordeon_element_crime
78,-0.054229736328125,accordeon_element_crime
79,-0.054412841796875,accordeon_element_crime
80,-0.05438232421875,accordeon_element_crime
81,-0.054779052734375,accordeon_element_crime
82,-0.055267333984375,accordeon_element_crime
83,-0.0552978515625,accordeon_element_crime
84,-0.055633544921875,accordeon_element_crime
85,-0.056243896484375,accordeon_element_crime
86,-0.056427001953125,accordeon_element_crime
87,-0.056793212890625,accordeon_element_crime
88,-0.05706787109375,accordeon_element_crime
89,-0.057098388671875,accordeon_element_crime
90,-0.057647705078125,accordeon_element_crime
91,-0.058013916015625,accordeon_element_crime
92,-0.058197021484375,accordeon_element_crime
93,-0.058319091796875,accordeon_element_crime
94,-0.0582275390625,accordeon_element_crime
95,-0.058013916015625,accordeon_element_crime
96,-0.057891845703125,accordeon_element_crime
97,-0.05792236328125,accordeon_element_crime
98,-0.058013916015625,accordeon_element_crime
99,-0.05767822265625,accordeon_element_crime
100,-0.05731201171875,accordeon_element_crime
101,-0.05694580078125,accordeon_element_crime
102,-0.056427001953125,accordeon_element_crime
103,-0.056182861328125,accordeon_element_crime
104,-0.0562744140625,accordeon_element_crime
105,-0.05670166015625,accordeon_element_crime
106,-0.057159423828125,accordeon_element_crime
107,-0.057525634765625,accordeon_element_crime
108,-0.057647705078125,accordeon_element_crime
109,-0.0574951171875,accordeon_element_crime
110,-0.057403564453125,accordeon_element_crime
111,-0.057373046875,accordeon_element_crime
112,-0.0572509765625,accordeon_element_crime
113,-0.0576171875,accordeon_element_crime
114,-0.058135986328125,accordeon_element_crime
115,-0.05816650390625,accordeon_element_crime
116,-0.058380126953125,accordeon_element_crime
117,-0.0584716796875,accordeon_element_crime
118,-0.0579833984375,accordeon_element_crime
119,-0.057647705078125,accordeon_element_crime
120,-0.0572509765625,accordeon_element_crime
121,-0.05657958984375,accordeon_element_crime
122,-0.0560302734375,accordeon_element_crime
123,-0.055633544921875,accordeon_element_crime
124,-0.055328369140625,accordeon_element_crime
125,-0.055206298828125,accordeon_element_crime
126,-0.05517578125,accordeon_element_crime
127,-0.0550537109375,accordeon_element_crime
128,-0.054779052734375,accordeon_element_crime
129,-0.05450439453125,accordeon_element_crime
130,-0.0538330078125,accordeon_element_crime
131,-0.053070068359375,accordeon_element_crime
132,-0.052764892578125,accordeon_element_crime
133,-0.05230712890625,accordeon_element_crime
134,-0.052032470703125,accordeon_element_crime
135,-0.0521240234375,accordeon_element_crime
136,-0.052276611328125,accordeon_element_crime
137,-0.052490234375,accordeon_element_crime
138,-0.052947998046875,accordeon_element_crime
139,-0.053436279296875,accordeon_element_crime
140,-0.0538330078125,accordeon_element_crime
141,-0.05389404296875,accordeon_element_crime
142,-0.05401611328125,accordeon_element_crime
143,-0.054168701171875,accordeon_element_crime
